country,code,year,percent_migrant,percent_f_migrant,total_refugees,total_pop,percent_refugees,immigrants,emigrants,net_migration
Thailand,764,2015,5.1,49.8,132838,68.714511,3.79,3485695,892725,37.74
Togo,768,2015,3.8,49.7,22705,7.323158,8.16,255847,495971,-32.79
Tokelau,772,2015,38.9,52.2,0,0.001252,0,450,2171,-1374.6
Tonga,776,2015,3.9,45.4,0,0.100781,0,1109,60001,-584.36
Trinidad & Tobago,780,2015,3.7,51.1,195,1.370328,0.38,42625,370530,-239.29
United Arab Emirates,784,2015,86.3,26.3,1084,9.2629,0.01,7752055,144851,821.26
Tunisia,788,2015,0.5,48.3,755,11.179949,1.35,45580,777007,-65.42
Turkey,792,2015,5.5,45,2753760,78.529409,63.76,4194301,3161361,13.15
Turkmenistan,795,2015,3.5,53.4,26,5.565287,0.01,192292,241220,-8.79
Turks & Caicos Islands,796,2015,63.1,48.3,0,0.035981,0,17760,2558,422.5
Tuvalu,798,2015,2.1,45.2,0,0.011099,0,125,3208,-277.77
Uganda,800,2015,2.2,51.1,512966,38.225453,61,848659,746157,2.68
Ukraine,804,2015,10.9,57,9775,44.921639,0.2,4495836,5813288,-29.33
Macedonia,807,2015,6.3,58.3,718,2.079328,0.55,129202,571846,-212.88
Egypt,818,2015,0.4,41.3,250671,92.442547,67.79,336162,3187827,-30.85
United Kingdom,826,2015,12.8,52.2,157048,65.860146,1.86,8338689,4392644,59.92
"",830,2015,49.8,52.2,0,0.165385,0,,,
Isle of Man,833,2015,50.7,51.2,0,0.083234,0,36557,11227,304.32
Tanzania,834,2015,0.7,50.4,213995,51.482633,59.38,343496,303603,0.77
United States,840,2015,15,51.3,559370,320.87831,1.16,45775575,2740348,134.12
U.S. Virgin Islands,850,2015,54,52.9,0,0.104958,0,55554,3975,491.43
Burkina Faso,854,2015,3.9,52.4,34160,18.110624,4.84,658342,1518093,-47.47
Uruguay,858,2015,2.3,54.8,380,3.412009,0.48,72691,354222,-82.51
Uzbekistan,860,2015,3.8,53.4,107,30.929557,0.01,1094008,1957924,-27.93
Venezuela,862,2015,4.7,49.9,173989,30.081829,12.31,1404256,704864,23.25
Wallis & Futuna,876,2015,8.6,49.5,0,0.012266,0,1045,11225,-829.94
Samoa,882,2015,2.2,49.5,0,0.193513,0,3878,116836,-583.72
Yemen,887,2015,1.4,47.5,277039,26.497889,74.68,345526,1094443,-28.26
Zambia,894,2015,0.8,49.5,28858,15.879361,22.72,116565,261849,-9.15
Afghanistan,4,2019,0.4,49.9,76146,38.041754,50.04,111353,5120959,-131.69
Albania,8,2019,1.7,49,163,2.880917,0.33,43711,1207092,-403.82
Algeria,12,2019,0.6,47.2,100567,43.053054,38.93,240740,1945035,-39.59
American Samoa,16,2019,42.6,49,0,0.055312,0,22965,1817,382.34
Andorra,20,2019,58.5,48.8,0,0.077142,0,42440,9114,432.01
Angola,24,2019,2.1,49,71270,31.825295,10.66,157936,661602,-15.83
Antigua & Barbuda,28,2019,30.1,55.4,2,0.097118,0.01,28772,55098,-271.07
Azerbaijan,31,2019,2.5,52.1,1244,10.047718,0.5,251453,1155867,-90.01
Argentina,32,2019,4.9,54,7515,44.780677,0.34,2167954,1013489,25.78
Australia,36,2019,30,50.4,96295,25.203198,1.27,7451863,577338,272.76
Austria,40,2019,19.9,50.9,171567,8.955102,9.63,1779857,576011,134.43
Bahamas,44,2019,16.2,49.4,18,0.389482,0.03,61850,46473,39.48
Bahrain,48,2019,45.2,27.7,356,1.641172,0.05,732974,60163,409.96
Bangladesh,50,2019,1.3,48.6,932334,163.046161,43.99,1850149,7835380,-36.71
Armenia,51,2019,6.4,59,18022,2.957731,9.52,170364,964864,-268.62
Barbados,52,2019,12.1,55.1,0,0.287025,0,20583,112980,-321.91
Belgium,56,2019,17.2,50.6,60928,11.539328,3.07,1866794,581813,111.36
Bermuda,60,2019,30.9,51.2,0,0.062506,0,18267,18057,3.36
Bhutan,64,2019,7,15.1,0,0.763092,0,49177,49233,-0.07
Bolivia,68,2019,1.4,47.6,775,11.5131,0.48,152255,878228,-63.06
Bosnia & Herzegovina,70,2019,1.1,52.4,5423,3.301,14.93,34853,1653196,-490.26
Botswana,72,2019,4.8,43.1,2480,2.303697,2.24,103487,86504,7.37
Brazil,76,2019,0.4,46,96010,211.049527,11.37,787722,1745454,-4.54
Belize,84,2019,15.4,49.7,3126,0.390353,5.2,58477,68151,-24.78
Solomon Islands,90,2019,0.4,43.9,3,0.669823,0.11,1956,4234,-3.4
British Virgin Islands,92,2019,69.2,50.7,0,0.03003,0,17597,5417,405.59
Brunei,96,2019,25.5,43.4,0,0.433285,0,109525,46994,144.32
Bulgaria,100,2019,2.4,50.9,21818,7.000119,12.99,165937,1541931,-196.57
Myanmar (Burma),104,2019,0.1,45.2,0,54.04542,0,66204,3699504,-67.23
Burundi,108,2019,2.8,50.7,65911,11.53058,20.41,291284,624032,-28.86
Belarus,112,2019,11.3,54.2,2408,9.452411,0.23,1069089,1480838,-43.56
Cambodia,116,2019,0.5,46.1,114,16.486542,0.14,75509,1097975,-62.02
Cameroon,120,2019,2,50.5,343120,25.87638,66.3,491964,383102,4.21
Canada,124,2019,21.3,52.4,156582,37.411047,1.96,7956487,1323087,177.31
Cape Verde,132,2019,2.8,49.4,0,0.549935,0,14068,186372,-313.32
Cayman Islands,136,2019,44.6,48.8,55,0.064948,0.19,28852,1974,413.84
Central African Republic,140,2019,1.9,47,10611,4.745185,11.77,64519,767889,-148.23
Sri Lanka,144,2019,0.2,47.8,1434,21.323733,3.36,38053,1910470,-87.81
Chad,148,2019,3.2,53.9,412100,15.946876,80.76,496489,206406,18.19
Chile,152,2019,5,52.9,10346,18.952038,1.09,939992,650255,15.29
China,156,2019,0.1,38.6,322383,1457.557562,22.12,857732,10734807,-6.78
Colombia,170,2019,2.3,49.6,8390,50.339443,0.72,1140328,2869305,-34.35
Comoros,174,2019,1.5,51.6,0,0.850886,0,11156,120298,-128.27
Mayotte,175,2019,28,53.7,0,0.26615,0,73098,6617,249.79
Congo - Brazzaville,178,2019,7.5,45.2,55576,5.380508,13.77,393433,239407,28.63
Congo - Kinshasa,180,2019,1.1,51.9,537893,86.790567,56.34,929883,1684715,-8.7
Cook Islands,184,2019,19.9,49.9,0,0.017548,0,2863,22488,-1118.36
Costa Rica,188,2019,8.3,51.7,11944,5.047561,2.85,403463,150415,50.13
Croatia,191,2019,12.5,53.7,832,4.130304,0.16,513292,990168,-115.46
Cuba,192,2019,0,57.1,347,11.333483,,4131,1654754,-145.64
Cyprus,196,2019,16,55.6,16165,1.198575,8.43,189224,214664,-21.23
Czechia,203,2019,4.8,42.8,4455,10.689209,0.87,512705,911469,-37.31
Benin,204,2019,3.3,52.9,1328,11.801151,0.34,348583,666367,-26.93
Denmark,208,2019,12.5,50.6,39937,5.771876,5.54,722878,255665,80.95
Dominica,212,2019,11.5,47.9,1424,0.071808,17.24,6616,78644,-1003.06
Dominican Republic,214,2019,5.3,35.7,1450,10.738958,0.25,558901,1558710,-93.1
Ecuador,218,2019,2.2,48.3,104185,17.373662,27.26,311304,1183744,-50.22
El Salvador,222,2019,0.7,52.4,30,6.453553,0.07,42466,1600927,-241.49
Equatorial Guinea,226,2019,16.8,22.9,0,1.355986,0,9617,125670,-85.59
Ethiopia,231,2019,1.1,49.1,891990,112.07873,72.35,1225432,871874,3.15
Eritrea,232,2019,0.5,44.6,2392,3.497117,13.68,13843,751539,-210.94
Estonia,233,2019,14.4,57.6,455,1.325648,0.24,190208,208270,-13.63
Faroe Islands,234,2019,13.3,49.1,0,0.048678,0,6044,13838,-160.11
Falkland Islands,238,2019,56.3,44.4,0,0.003377,0,1820,1623,58.34
Fiji,242,2019,1.6,46,19,0.889953,0.13,12218,222728,-236.54
Finland,246,2019,6.9,48.8,23955,5.532156,6.28,381016,290042,16.44
France,250,2019,12.8,51.8,400228,65.129728,4.8,8334875,2294928,92.74
French Guiana,254,2019,40.4,52.5,0,0.290832,0,114784,4556,379.01
French Polynesia,258,2019,11.2,43,0,0.279287,0,27209,1982,90.33
Djibouti,262,2019,11.8,47.4,26895,0.97356,23.41,108440,18677,92.2
Gabon,266,2019,18.9,35.7,825,2.172579,0.2,400640,46688,162.92
Georgia,268,2019,2,56.2,2569,3.996765,3.21,75932,852826,-194.38
Gambia,270,2019,9.2,47.3,8044,2.347706,3.72,209153,118485,38.62
Palestinian Territories,275,2019,5.1,55.7,2214783,4.98142,871.78,231086,3854370,-727.36
Germany,276,2019,15.7,47.6,1399669,83.517045,10.67,13020724,4014770,107.83
Ghana,288,2019,1.5,46.6,13469,30.417856,2.95,397525,970714,-18.84
Gibraltar,292,2019,33.2,49.5,0,0.033701,0,8827,14320,-162.99
Kiribati,296,2019,2.6,47.3,0,0.117606,0,2531,4370,-15.64
Greece,300,2019,11.6,53.8,83110,10.473455,6.84,1211382,1039501,16.41
Greenland,304,2019,10,34.2,0,0.056672,0,5423,18684,-234
Grenada,308,2019,6.4,50.4,0,0.112003,0,4863,75825,-633.57
Guadeloupe,312,2019,22.3,55.5,0,0.447905,0,94448,11858,184.39
Guam,316,2019,47.7,48.4,0,0.167294,0,77237,2197,448.55
Guatemala,320,2019,0.5,52.6,388,17.581472,0.44,78245,1205711,-64.13
Guinea,324,2019,0.9,41.4,5259,12.771246,4.58,111052,530983,-32.88
Guyana,328,2019,2,46.5,7,0.782766,0.04,14796,520538,-646.1
Haiti,332,2019,0.2,44.4,3,11.263077,0.01,17354,1586044,-139.28
Vatican City,336,2019,100,53.3,0,0.000799,0,0,217,-271.59
Honduras,340,2019,0.4,47.5,28,9.746117,0.07,38699,800738,-78.19
Hong Kong SAR China,344,2019,39.6,61.1,103,7.436154,0,2918771,1111170,243.08
Hungary,348,2019,5.3,50.4,6272,9.684679,1.22,492314,632269,-14.45
Iceland,352,2019,15.5,47.4,719,0.339031,1.37,51279,42188,26.81
India,356,2019,0.4,48.8,207619,1366.417754,3.8,5140200,17513533,-9.06
Indonesia,360,2019,0.1,41.8,13789,270.625568,5.1,312573,4533048,-15.6
Iran,364,2019,3.2,47,979519,82.913906,36.92,2443847,1302576,13.76
Iraq,368,2019,0.9,41.8,290673,39.309783,82.16,341562,2033789,-43.05
Ireland,372,2019,17.1,50.3,12314,4.882495,1.47,833564,812877,4.24
Israel,376,2019,23,54.6,55208,8.519377,2.82,1367290,370040,117.06
Italy,380,2019,10.4,53.6,354698,60.550075,5.63,6228525,3078697,52.02
Côte d’Ivoire,384,2019,9.9,44.6,2842,25.716544,0.11,2477985,1114047,53.04
Jamaica,388,2019,0.8,49.2,16,2.948279,0.07,20967,1111559,-369.91
Japan,392,2019,2,51.7,33395,126.860301,1.32,2313427,838957,11.62
Kazakhstan,398,2019,20,50.4,807,18.551427,0.02,3434949,4005636,-30.76
Jordan,400,2019,33.1,49.6,2928724,10.101694,87.59,3324014,784428,251.4
Kenya,404,2019,2,50,488368,52.573973,46.45,971157,525543,8.48
North Korea,408,2019,0.2,50.2,0,25.666161,0,47208,113121,-2.57
South Korea,410,2019,2.3,43.9,11727,51.225308,1,1110642,2307369,-23.36
Kuwait,414,2019,72.1,33.6,1695,4.207083,0.06,2913591,205441,643.71
Kyrgyzstan,417,2019,3.1,59.6,430,6.41585,0.22,195949,754981,-87.13
Laos,418,2019,0.7,35.6,0,7.169455,0,44627,1347091,-181.67
Lebanon,422,2019,27.2,51.9,1558615,6.855713,83.58,1862326,844503,148.46
Lesotho,426,2019,0.3,45.9,87,2.125268,1.36,4136,341581,-158.78
Latvia,428,2019,12.4,60.6,725,1.906743,0.31,237266,332243,-49.81
Liberia,430,2019,1.9,43,11533,4.937374,12.29,86184,219348,-26.97
Libya,434,2019,12.1,28.8,44982,6.777452,5.49,818216,180611,94.08
Liechtenstein,438,2019,67,51.3,255,0.038019,1,24608,3713,549.59
Lithuania,440,2019,4.2,57.9,1863,2.759627,1.61,116893,610242,-178.77
Luxembourg,442,2019,47.4,49,3541,0.615729,1.21,291636,75472,351.07
Macau SAR China,446,2019,62.4,53.6,5,0.640445,0,353514,161953,299.11
Madagascar,450,2019,0.1,43,86,26.969307,0.32,25555,184776,-5.9
Malawi,454,2019,1.3,52.4,34973,18.628747,14.44,197444,324543,-6.82
Malaysia,458,2019,10.7,38.9,151291,31.949777,4.43,3200840,1689315,47.31
Maldives,462,2019,13,12.3,0,0.530953,0,64709,3053,116.12
Mali,466,2019,2.4,49.3,17953,19.658031,3.81,446184,1264709,-41.64
Malta,470,2019,19.3,45.9,9273,0.440372,10.91,81106,111166,-68.26
Martinique,474,2019,16.4,56.3,0,0.375554,0,59917,13922,122.47
Mauritania,478,2019,3.8,43.5,78183,4.525696,45.46,167590,128509,8.64
Mauritius,480,2019,2.3,44.6,0,1.269668,0,27284,188406,-126.9
Mexico,484,2019,0.8,49.9,19385,127.575529,1.9,1038558,11796491,-84.33
Monaco,492,2019,68,51.5,25,0.038964,0.09,13724,31453,-455.01
Mongolia,496,2019,0.7,33.2,0,3.225167,0,20404,73494,-16.46
Moldova,498,2019,2.6,59.1,423,4.043263,0.4,99672,1029526,-229.98
Montenegro,499,2019,11.3,60.6,952,0.627987,1.34,69992,153016,-132.21
Montserrat,500,2019,27.6,48.4,0,0.004989,0,1133,22840,-4350.97
Morocco,504,2019,0.3,49.8,6779,36.471769,6.2,81757,3136340,-83.75
Mozambique,508,2019,1.1,51.7,23651,30.366036,7.08,317809,1013421,-22.91
Oman,512,2019,46,16.4,701,4.974986,0.03,2193435,22461,436.38
Namibia,516,2019,4.3,46.1,4056,2.49453,3.78,105277,195519,-36.18
Nauru,520,2019,19.7,43,1092,0.010756,51.54,1239,2421,-109.89
Nepal,524,2019,1.7,69.7,21607,28.60871,4.44,478502,2285420,-63.16
Netherlands,528,2019,13.4,51.7,109678,17.09713,4.79,2276551,981097,75.77
Curaçao,531,2019,25,58.9,803,0.163424,1.97,40249,81171,-250.4
Aruba,533,2019,34.4,55.4,17,0.106314,0.05,34886,19642,143.39
Sint Maarten,534,2019,66.7,52.1,8,0.042388,0.03,25832,27618,-42.13
Caribbean Netherlands,535,2019,59.6,51.6,0,0.025979,0,14761,12779,76.29
New Caledonia,540,2019,25.7,47.6,0,0.28275,0,67891,4833,223.02
Vanuatu,548,2019,1.1,50.3,1,0.299882,0.03,2315,7346,-16.78
New Zealand,554,2019,22.3,51.6,1877,4.783063,0.18,1026574,787715,49.94
Nicaragua,558,2019,0.6,48.5,736,6.545502,1.87,40165,693144,-99.76
Niger,562,2019,1.3,52.6,165990,23.310715,54.78,280929,392266,-4.78
Nigeria,566,2019,0.6,45.1,10535,200.963599,0.87,1127868,1473047,-1.72
Niue,570,2019,36.4,45.7,0,0.001615,0,529,5593,-3135.6
Norway,578,2019,16.1,48,62083,5.378857,7.17,855945,205377,120.95
Northern Mariana Islands,580,2019,38.1,58,0,0.057216,0,20869,2764,316.43
Micronesia (Federated States of),583,2019,2.5,46.5,0,0.113815,0,976,21819,-183.13
Marshall Islands,584,2019,5.6,38.7,0,0.058791,0,2935,8205,-89.64
Palau,585,2019,28.1,43.2,0,0.018008,0,4926,2650,126.39
Pakistan,586,2019,1.5,47.4,1396619,216.565318,42.99,3183094,6509984,-15.36
Panama,591,2019,4.4,49,9729,4.246439,5.21,184084,162258,5.14
Papua New Guinea,598,2019,0.4,39.3,10018,8.776109,28.54,30085,4753,2.89
Paraguay,600,2019,2.3,48,256,7.044636,0.16,156614,876638,-102.21
Peru,604,2019,2.4,45.8,196133,32.510453,25.14,779323,1544212,-23.53
Philippines,608,2019,0.2,48.2,672,108.116615,0.31,160806,5996161,-53.97
Poland,616,2019,1.7,55.8,15037,37.887768,2.33,648347,4571556,-103.55
Portugal,620,2019,8.7,53.6,1668,10.226187,0.19,884542,2141680,-122.93
Guinea-Bissau,624,2019,1.4,51.7,11221,1.920922,41.72,25165,103588,-40.83
Timor-Leste,626,2019,0.7,39.6,0,1.293119,0,7268,39202,-24.7
Puerto Rico,630,2019,9.1,53.5,0,2.933408,0,246417,1852458,-547.5
Qatar,634,2019,78.7,17.2,272,2.832067,0.01,2196373,26312,766.25
Réunion,638,2019,14.5,49.3,0,0.888927,0,116349,3237,127.25
Romania,642,2019,2.4,46.2,5370,19.364557,1.16,445982,3650296,-165.47
Russia,643,2019,8,50.9,128139,145.872256,1.1,11639894,10575205,7.3
