country,code,year,percent_migrant,percent_f_migrant,total_refugees,total_pop,percent_refugees,immigrants,emigrants,net_migration
Afghanistan,4,1990,0.5,43.6,25,12.412308,0.04,50671,6823350,-545.64
Albania,8,1990,2,53.7,3000,3.286073,4.56,58703,180284,-37
Algeria,12,1990,1.1,45.2,169107,25.758869,59.68,258623,921727,-25.74
American Samoa,16,1990,45,47.5,0,0.047347,0,20486,2041,389.57
Andorra,20,1990,71.3,46,0,0.054509,0,38137,3792,630.08
Angola,24,1990,0.3,45.9,12000,11.848386,33.76,27759,824942,-67.28
Antigua & Barbuda,28,1990,19.2,52,0,0.062528,0,11204,21753,-168.71
Azerbaijan,31,1990,5,56.2,,7.242761,,357078,1634081,-176.31
Argentina,32,1990,5.1,52.2,12185,32.618651,0.73,1565392,430169,34.8
Australia,36,1990,23.3,49.1,97915,16.960597,2.48,3948318,303696,214.89
Austria,40,1990,10.3,53.6,37172,7.723949,4.67,793239,506088,37.18
Bahamas,44,1990,10.5,48.5,0,0.256223,0,25319,25182,0.53
Bahrain,48,1990,34.9,29.1,1780,0.495931,1.03,170701,12820,318.35
Bangladesh,50,1990,0.9,46,73,103.171956,0.01,741548,5451831,-45.65
Armenia,51,1990,18.6,58.9,,3.538171,,564662,899649,-94.68
Barbados,52,1990,9.2,58.1,0,0.260936,0,18452,84931,-254.77
Belgium,56,1990,12.8,48.9,25721,10.006544,2.01,1254663,365360,88.87
Bermuda,60,1990,25.4,51.8,0,0.061634,0,15030,71702,-919.49
Bhutan,64,1990,4.5,18.5,0,0.530804,0,21982,28465,-12.21
Bolivia,68,1990,1.1,49.1,235,6.864842,0.31,72706,224693,-22.14
Bosnia & Herzegovina,70,1990,1.3,52.6,,4.463423,,54542,861766,-180.85
Botswana,72,1990,2.1,39.6,1220,1.286756,4.51,25829,26053,-0.17
Brazil,76,1990,0.5,46.6,5333,149.003223,0.72,770323,500392,1.81
Belize,84,1990,16.2,46.1,30404,0.187552,100.07,29314,36117,-36.27
Solomon Islands,90,1990,1.4,44.4,0,0.311866,0,3925,2212,5.49
British Virgin Islands,92,1990,45.9,48.6,0,0.017489,0,7516,3094,252.84
Brunei,96,1990,28.3,42.8,0,0.258721,0,72400,26323,178.1
Bulgaria,100,1990,0.2,57.9,0,8.841458,0,19077,613093,-67.19
Myanmar (Burma),104,1990,0.3,45.9,0,41.335199,0,120047,685310,-13.68
Burundi,108,1990,6.1,51,267929,5.438957,80.76,273491,337118,-11.7
Belarus,112,1990,12.3,54.2,,10.151134,,1248782,1767606,-51.11
Cambodia,116,1990,0.4,50.3,0,8.975597,0,32682,355430,-35.96
Cameroon,120,1990,2.3,45.2,49876,11.780088,18.41,212475,115853,8.2
Canada,124,1990,15.7,51.3,145257,27.541319,3.36,4327805,998163,120.9
Cape Verde,132,1990,2.6,50.4,0,0.33795,0,7144,91368,-249.22
Cayman Islands,136,1990,36.8,50.8,0,0.025312,0,9240,373,350.31
Central African Republic,140,1990,2.4,46.9,3389,2.806734,5.03,57307,46362,3.9
Sri Lanka,144,1990,0.2,43.6,15,17.325773,0.04,39935,885951,-48.83
Chad,148,1990,1.2,46,0,5.963252,0,69111,336802,-44.89
Chile,152,1990,0.8,49.3,179,13.274623,0.17,107501,493026,-29.04
China,156,1990,0,49,285788,1197.362194,,298400,4231648,-3.28
Colombia,170,1990,0.3,49.1,580,33.102575,0.58,103448,1009935,-27.38
Comoros,174,1990,3.4,52.3,0,0.411594,0,12560,40083,-66.87
Mayotte,175,1990,16.1,42.3,0,0.094784,0,12733,1835,114.98
Congo - Brazzaville,178,1990,5.5,50.3,2990,2.356737,2.31,121479,96372,10.65
Congo - Kinshasa,180,1990,2.2,51.9,378562,34.612023,49.71,663006,436526,6.54
Cook Islands,184,1990,14.2,44.2,0,0.018191,0,2511,17488,-823.32
Costa Rica,188,1990,13.4,49.2,277505,3.119433,66.39,209203,69711,44.72
Croatia,191,1990,10,53.2,,4.776374,,371626,425807,-11.34
Cuba,192,1990,0.3,50,3989,10.596987,12.55,29587,835796,-76.08
Cyprus,196,1990,5.7,53.3,17,0.766615,0.04,43432,174378,-170.81
Czechia,203,1990,1.1,48,,10.340875,,110394,277260,-16.14
Benin,204,1990,1.5,47.3,657,4.978496,0.88,69038,234314,-33.2
Denmark,208,1990,4.6,51.4,31827,5.141115,13.46,235189,201761,6.5
Dominica,212,1990,3.6,48,0,0.070419,0,2055,42437,-573.45
Dominican Republic,214,1990,4.1,37.6,2643,7.133494,0.9,289949,466216,-24.71
Ecuador,218,1990,0.8,51,634,10.230934,0.77,78436,214008,-13.25
El Salvador,222,1990,0.9,53.1,20515,5.270079,43.25,47116,1242075,-226.74
Equatorial Guinea,226,1990,0.7,46.5,0,0.419188,0,2214,36178,-81.02
Ethiopia,231,1990,2.4,47.4,741965,47.887865,64.56,1125957,1689955,-11.78
Eritrea,232,1990,0.5,47.4,0,2.258653,0,10766,170603,-70.77
Estonia,233,1990,24.4,55.1,,1.565246,,381355,113905,170.87
Faroe Islands,234,1990,9.1,43.1,0,0.047274,0,4140,7520,-71.5
Falkland Islands,238,1990,43.1,42.9,0,0.001982,0,824,260,284.56
Fiji,242,1990,1.8,48.5,0,0.728573,0,11655,90166,-107.76
Finland,246,1990,1.3,49.9,2174,4.996222,3.35,61128,250765,-37.96
France,250,1990,10.4,49.1,193000,56.666849,3.27,5897267,1215055,82.63
French Guiana,254,1990,54.9,45.2,6601,0.115784,10.38,60358,2844,496.74
French Polynesia,258,1990,12.9,40.2,0,0.199905,0,22416,3149,96.38
Djibouti,262,1990,20.7,47.4,54508,0.590398,44.6,114910,5308,185.64
Gabon,266,1990,13.5,42.9,417,0.949488,0.33,124824,15352,115.3
Georgia,268,1990,5.6,56.2,,5.410399,,289184,919454,-116.49
Gambia,270,1990,12.4,43.9,39,0.955593,0.03,114683,36280,82.05
Palestinian Territories,275,1990,13.7,54.2,910637,2.101446,316.31,265785,1813063,-736.29
Germany,276,1990,7.5,44.5,722250,79.053984,12.18,5601544,2929448,33.8
Ghana,288,1990,1.1,49.6,4102,14.773277,2.52,153715,371162,-14.72
Gibraltar,292,1990,29.9,48,0,0.029147,0,7438,11994,-156.31
Kiribati,296,1990,3,48.8,0,0.0724,0,1691,4053,-32.62
Greece,300,1990,6,46.6,8488,10.225992,1.38,618137,1022459,-39.54
Greenland,304,1990,16.7,30.3,0,0.055604,0,9222,9510,-5.18
Grenada,308,1990,4.4,50.6,0,0.096331,0,2793,43249,-419.97
Guadeloupe,312,1990,15.5,50.4,0,0.426108,0,61948,5828,131.7
Guam,316,1990,53.5,43.6,0,0.130482,0,67120,1376,503.85
Guatemala,320,1990,2.9,57.4,223239,9.263813,83.1,264169,348332,-9.09
Guinea,324,1990,6.4,50.1,325000,6.352283,79.94,399986,352763,7.43
Guyana,328,1990,0.6,46.3,0,0.743309,0,3674,233731,-309.5
Haiti,332,1990,0.3,44.4,0,7.037917,0,17725,528873,-72.63
Vatican City,336,1990,100,51,0,0.000768,0,0,31,-40.36
Honduras,340,1990,5.5,49.1,237144,4.955303,87.01,270279,156594,22.94
Hong Kong SAR China,344,1990,38.7,49.3,10092,5.727938,0.46,2000265,551080,253
Hungary,348,1990,3.3,55.1,45123,10.377137,13.18,336699,387514,-4.9
Iceland,352,1990,3.8,55.7,43,0.255043,0.44,9584,17621,-31.51
India,356,1990,0.9,47.8,212743,873.277798,2.71,7362652,6623177,0.85
Indonesia,360,1990,0.3,50.6,2138,181.413402,0.39,374951,1638365,-6.96
Iran,364,1990,7.6,42.8,3512201,56.366217,81.99,4290497,631339,64.92
Iraq,368,1990,0.5,33.3,900,17.419113,1.03,63698,1506702,-82.84
Ireland,372,1990,6.5,50.8,360,3.510885,0.16,227961,915626,-195.87
Israel,376,1990,36.7,52.8,0,4.448353,0,1489650,281597,271.57
Italy,380,1990,2.5,55,12379,57.048236,0.87,1428217,3351006,-33.7
Côte d’Ivoire,384,1990,15.2,44.3,136381,11.924877,7.52,1794958,366348,119.8
Jamaica,388,1990,0.8,51.3,0,2.419906,0,18126,589010,-235.91
Japan,392,1990,0.9,49.9,6649,124.50524,0.59,1065385,608921,3.67
Kazakhstan,398,1990,22.1,54,,16.383887,,3192260,2971639,13.47
Jordan,400,1990,32.1,48.8,929482,3.56589,81.2,1144334,313997,232.86
Kenya,404,1990,1.3,45.9,14249,23.724579,4.62,196730,250340,-2.26
North Korea,408,1990,0.2,49,0,20.293054,0,31012,39784,-0.43
South Korea,410,1990,0.1,43.7,230,42.918419,0.54,41151,1624729,-36.9
Kuwait,414,1990,51.3,39,30000,2.095344,2.79,1048104,81611,461.26
Kyrgyzstan,417,1990,14.2,58.2,,4.372885,,608720,522578,19.7
Laos,418,1990,0.5,48.4,0,4.258472,0,22074,483021,-108.24
Lebanon,422,1990,18.7,48.8,305499,2.803044,58.28,520116,509323,3.85
Lesotho,426,1990,0.5,47.6,2231,1.703747,26.19,4469,191339,-109.68
Latvia,428,1990,24.2,55,,2.664439,,646007,215134,161.71
Liberia,430,1990,4.6,43.2,125,2.075912,0.13,74599,516886,-213.06
Libya,434,1990,10.3,46.9,0,4.436661,0,457075,76256,85.83
Liechtenstein,438,1990,37.9,45.4,0,0.028789,0,10877,3428,258.74
Lithuania,440,1990,9.4,52.9,,3.696035,,335946,341050,-1.38
Luxembourg,442,1990,29.8,50.7,344,0.381791,0.3,113439,36141,202.46
Macau SAR China,446,1990,59.6,53,0,0.343808,0,191385,95648,278.46
Madagascar,450,1990,0.2,44.2,0,11.598633,0,17503,59424,-3.61
Malawi,454,1990,12,51.5,874614,9.4045,77.5,1096822,143437,101.38
Malaysia,458,1990,3.9,41.7,14862,18.029824,2.11,609304,562762,2.58
Maldives,462,1990,3.9,45,0,0.223158,0,8435,2193,27.97
Mali,466,1990,1.9,49,13411,8.449913,8.35,142919,647436,-59.71
Malta,470,1990,4.2,53.5,0,0.362015,0,14979,110746,-264.54
Martinique,474,1990,10.8,50.7,0,0.358449,0,37033,11041,72.51
Mauritania,478,1990,5.5,48.4,60000,2.034346,53.62,110227,134488,-11.93
Mauritius,480,1990,0.3,51.2,0,1.055868,0,3246,110708,-101.78
Mexico,484,1990,0.8,49.9,356454,83.943132,53.08,693754,4395365,-44.1
Monaco,492,1990,69.2,53.5,0,0.029438,0,11565,4479,240.71
Mongolia,496,1990,0.3,49.1,0,2.184145,0,6043,24466,-8.43
Moldova,498,1990,12.5,56.3,,4.365564,,527028,625683,-22.6
Montenegro,499,1990,,,,0.615002,0,0,77384,-125.83
Montserrat,500,1990,19,48.9,0,0.010615,0,1652,7188,-521.53
Morocco,504,1990,0.2,47.1,307,24.807462,0.62,43973,1748251,-68.7
Mozambique,508,1990,0.9,46,420,12.987292,0.36,113741,2222369,-162.36
Oman,512,1990,16.8,20.2,0,1.812161,0,299352,12535,158.27
Namibia,516,1990,8.4,47.2,0,1.432905,0,117404,16079,70.71
Nauru,520,1990,29.6,46.5,0,0.009505,0,2598,1419,124.04
Nepal,524,1990,2.3,70.7,17325,18.905478,3.98,411030,748060,-17.83
Netherlands,528,1990,7.9,49.9,17154,14.965448,1.45,1180236,723638,30.51
Curaçao,531,1990,,,,0.14667,0,0,43190,-294.47
Aruba,533,1990,23.2,55.5,0,0.062149,0,11099,10596,8.09
Sint Maarten,534,1990,,,,0.028812,0,0,14823,-514.47
Caribbean Netherlands,535,1990,20.4,55.1,0,0.013019,0,37933,3206,2667.41
New Caledonia,540,1990,22.1,44.6,0,0.170336,0,35367,4151,183.26
Vanuatu,548,1990,1.6,45,0,0.146573,0,1565,5060,-23.84
New Zealand,554,1990,15.2,50.2,4666,3.398172,0.9,499649,388173,32.8
Nicaragua,558,1990,1,49.6,15605,4.173434,37.39,40112,442126,-96.33
Niger,562,1990,1.4,52.2,792,8.026591,0.7,105305,149779,-5.54
Nigeria,566,1990,0.5,43.9,3571,95.21245,0.75,299556,446806,-1.55
Niue,570,1990,19.8,46.9,0,0.002329,0,404,5860,-2342.64
Norway,578,1990,4.5,48.3,19581,4.247285,10.24,186730,138536,11.35
Northern Mariana Islands,580,1990,58.1,46.4,0,0.045752,0,25498,2525,502.12
Micronesia (Federated States of),583,1990,3.8,43,0,0.096301,0,1242,7714,-67.21
Marshall Islands,584,1990,2.4,37.7,0,0.047271,0,1022,1426,-8.55
Palau,585,1990,18.6,35.7,0,0.015058,0,2695,2958,-17.47
Pakistan,586,1990,5.8,47.4,3265845,107.647921,52.31,6203799,3343328,26.57
Panama,591,1990,2.5,47.2,1350,2.470947,2.19,62485,134743,-29.24
Papua New Guinea,598,1990,0.7,42.6,8089,4.615839,25.03,32047,3111,6.27
Paraguay,600,1990,4.6,47.5,66,4.223415,0.03,189434,297979,-25.7
Peru,604,1990,0.3,49.9,724,22.071433,1.09,55776,314854,-11.74
Philippines,608,1990,0.2,47.2,19860,61.89516,16.04,128466,2033684,-30.78
Poland,616,1990,3,57.2,0,37.960193,0,1073550,1510415,-11.51
Portugal,620,1990,4.4,51.8,867,9.895364,0.2,431537,1870077,-145.38
Guinea-Bissau,624,1990,1.6,50,3004,0.975261,19.25,14726,55409,-41.71
Timor-Leste,626,1990,1.2,50.3,,0.737814,,7892,11261,-4.57
Puerto Rico,630,1990,9.5,52.4,0,3.403154,0,312915,1200821,-260.91
Qatar,634,1990,65,27.1,0,0.476278,0,305265,12204,615.32
Réunion,638,1990,9.4,46.3,0,0.610582,0,44104,3087,67.18
Romania,642,1990,0.6,57.6,651,23.48916,0.46,130612,813066,-29.05
Russia,643,1990,7.8,50.9,,147.531561,,11516298,12662893,-7.77
Rwanda,646,1990,2.2,49.5,23601,7.288882,14.72,139805,547718,-55.96
St. Helena,654,1990,2.7,38.2,0,0.006647,0,159,884,-109.07
St. Kitts & Nevis,659,1990,8,48.8,0,0.040259,0,1521,20714,-476.74
Anguilla,660,1990,28.9,51.1,0,0.008899,0,1902,2047,-16.29
St. Lucia,662,1990,3.8,50.7,0,0.13802,0,3617,22005,-133.23
St. Pierre & Miquelon,666,1990,17.2,49,0,0.006393,0,945,485,71.95
St. Vincent & Grenadines,670,1990,3.7,51.4,0,0.107484,0,3718,37049,-310.1
San Marino,674,1990,13.7,47.8,0,0.024125,0,3203,1419,73.95
São Tomé & Príncipe,678,1990,4.7,47.1,0,0.119209,0,5483,13977,-71.25
Saudi Arabia,682,1990,30.8,33.5,33261,16.233785,0.67,4830679,107166,290.97
Senegal,686,1990,3.6,48.7,58113,7.526307,21.45,234420,370263,-18.05
Serbia,688,1990,1,52.9,938,9.517675,0.99,99189,742547,-67.6
Seychelles,690,1990,5.3,40.8,0,0.07057,0,2947,35633,-463.17
Sierra Leone,694,1990,5.1,44.7,125830,4.319762,57.12,221098,61854,36.86
Singapore,702,1990,24.1,52.4,146,3.012966,0.02,445694,156468,95.99
Slovakia,703,1990,0.8,56,,5.288454,,41183,133006,-17.36
Vietnam,704,1990,0,45.8,21150,67.988862,,27398,1237873,-17.8
Slovenia,705,1990,8.9,49.7,,2.006405,,174414,91496,41.33
Somalia,706,1990,6.6,48.9,460000,7.225092,96.47,460000,848067,-53.71
South Africa,710,1990,3.2,38.4,90000,36.800509,7.64,1057863,308303,20.37
Zimbabwe,716,1990,6.1,43.9,190950,10.432421,30.01,604946,204365,38.4
Spain,724,1990,2.1,52.5,8303,39.202525,1.01,817573,1439019,-15.85
South Sudan,728,1990,,,,5.492623,0,0,514943,-93.75
Sudan,729,1990,5.5,50.4,1031050,20.14759,93.05,1369612,584940,38.95
Western Sahara,732,1990,1.2,45.5,0,0.217258,0,2580,168239,-762.5
Suriname,740,1990,4.5,46,52,0.405168,0.29,10581,179870,-417.82
Swaziland,748,1990,9.1,46.8,42074,0.82242,56.22,67820,35181,39.69
Sweden,752,1990,9.2,51.4,109663,8.567384,13.91,720215,206848,59.92
Switzerland,756,1990,20.9,49.6,40943,6.652868,2.94,1201146,326276,131.5
Syria,760,1990,5.7,49,282794,12.446171,39.86,248732,621881,-29.98
Tajikistan,762,1990,8.1,56.2,3000,5.283814,0.7,428236,537701,-20.72
Thailand,764,1990,0.9,46.4,99821,56.558186,19.61,528671,311308,3.84
Togo,768,1990,2.2,49.4,3477,3.774312,4.19,74051,193830,-31.74
Tokelau,772,1990,16.8,44.4,0,0.001608,0,245,1684,-894.9
Tonga,776,1990,3.1,48.9,0,0.095069,0,820,32666,-334.98
Trinidad & Tobago,780,1990,4.1,53.6,0,1.221116,0,46645,197521,-123.56
United Arab Emirates,784,1990,71.5,28.7,433,1.828432,0.03,1287556,79545,660.68
Tunisia,788,1990,0.5,50.2,30,8.242496,0.07,32025,465576,-52.6
Turkey,792,1990,2.2,50.4,30534,53.92176,2.57,979704,2640033,-30.79
Turkmenistan,795,1990,8.3,56.2,,3.683967,,304696,259987,12.14
Turks & Caicos Islands,796,1990,41.8,48.2,0,0.012111,0,4481,2311,179.18
Tuvalu,798,1990,3.6,43.4,0,0.008913,0,246,2350,-236.06
Uganda,800,1990,3.1,47.9,145718,17.354392,27.09,524217,311602,12.25
Ukraine,804,1990,13.4,57.2,,51.463105,,6481438,5545760,18.18
Macedonia,807,1990,4.8,58.3,0,1.996228,0,93617,432296,-169.66
Egypt,818,1990,0.3,47.1,1991,56.134475,1.18,164324,1322178,-20.63
United Kingdom,826,1990,6.4,51.9,43395,57.134391,1.19,3623204,3739814,-2.04
"",830,1990,43.8,53,0,0.140671,0,,,
Isle of Man,833,1990,49.5,52.9,0,0.070298,0,32958,10735,316.13
Tanzania,834,1990,2.3,50.6,265184,25.203845,45.75,569603,203070,14.54
United States,840,1990,9.2,51.1,464887,252.120309,2,20134790,1739233,72.96
U.S. Virgin Islands,850,1990,50.1,52.2,0,0.103756,0,44012,2362,401.42
Burkina Faso,854,1990,4,52,350,8.811034,0.1,326879,1021332,-78.82
Uruguay,858,1990,3.2,53.3,87,3.109601,0.09,91866,237486,-46.83
Uzbekistan,860,1990,8.1,56.2,,20.398348,,1577433,1428020,7.32
Venezuela,862,1990,5.2,49.5,1750,19.632665,0.17,1024726,185946,42.72
Wallis & Futuna,876,1990,10.2,48.2,0,0.0138,0,1375,6484,-370.22
Samoa,882,1990,2.1,47.2,0,0.162803,0,3124,74861,-440.64
Yemen,887,1990,1,43.6,41534,11.709993,35.47,90251,455492,-31.19
Zambia,894,1990,3.5,48.8,138049,8.036845,49.08,270330,85203,23.03
Afghanistan,4,1995,0.4,45.3,19605,18.110657,27.06,55794,3716077,-202.11
Albania,8,1995,2.3,53.4,4720,3.112936,6.59,63452,501142,-140.6
Algeria,12,1995,0.9,45.2,192489,28.757785,74.37,250204,979704,-25.37
American Samoa,16,1995,43.4,47.9,0,0.053161,0,22301,2638,369.88
Andorra,20,1995,69.2,46.6,0,0.06385,0,39688,4192,555.93
Angola,24,1995,0.3,47.9,11404,13.945206,27.26,33126,688660,-47.01
Antigua & Barbuda,28,1995,25.6,54.2,0,0.06867,0,16990,27682,-155.7
Azerbaijan,31,1995,4.4,56.5,233682,7.775424,68.3,340965,1712211,-176.36
Argentina,32,1995,4.6,52.8,7278,34.82817,0.45,1512538,481996,29.59
Australia,36,1995,23.1,49.6,79081,17.993074,1.9,4125550,344311,210.15
Austria,40,1995,11.2,52.7,42980,7.990121,4.8,894893,490849,50.57
Bahamas,44,1995,11.3,47.5,50,0.280184,0.16,30680,29686,3.55
Bahrain,48,1995,36.5,30,891,0.563697,0.43,201392,26016,311.12
Bangladesh,50,1995,0.8,46.1,10996,115.16993,1.19,800479,5425050,-40.15
Armenia,51,1995,21.6,58.9,218950,3.217348,31.51,654786,901872,-76.8
Barbados,52,1995,9.9,57.2,0,0.265955,0,20140,89921,-262.38
Belgium,56,1995,12.6,49.4,31691,10.186305,2.47,1235497,376028,84.37
Bermuda,60,1995,26.3,51.8,0,0.063442,0,15980,42600,-419.6
Bhutan,64,1995,5.2,18.5,0,0.53462,0,25828,117971,-172.35
Bolivia,68,1995,1.1,48.8,685,7.622338,0.82,82464,283540,-26.38
Bosnia & Herzegovina,70,1995,1.8,52.3,,3.82905,,68250,1372534,-340.63
Botswana,72,1995,2.7,41.5,266,1.469174,0.67,35261,23320,8.13
Brazil,76,1995,0.5,46.6,19605,162.019896,2.42,713984,751469,-0.23
Belize,84,1995,16.2,47.6,8750,0.206963,26.1,32317,41959,-46.59
Solomon Islands,90,1995,1.2,44.3,0,0.359281,0,3888,2542,3.75
British Virgin Islands,92,1995,52,49.9,0,0.019313,0,8840,4242,238.08
Brunei,96,1995,28.5,43.6,0,0.297114,0,83870,35052,164.31
Bulgaria,100,1995,0.4,57.9,1320,8.379308,3.94,30380,649577,-73.9
Myanmar (Burma),104,1995,0.3,45.9,0,43.901598,0,99848,911446,-18.49
Burundi,108,1995,4.3,51.3,173017,5.987043,67.21,214117,540567,-54.53
Belarus,112,1995,11.8,54.2,28988,10.077608,2.44,1186020,1736499,-54.62
Cambodia,116,1995,0.9,50.8,15,10.656138,0.02,86480,418216,-31.13
Cameroon,120,1995,1.8,45.3,45781,13.599988,18.7,197678,138948,4.32
Canada,124,1995,16.7,51.6,152125,29.164152,3.12,4858489,1069031,129.94
Cape Verde,132,1995,2.6,49,0,0.386284,0,8922,106957,-253.79
Cayman Islands,136,1995,39.4,50,0,0.032166,0,12591,803,366.47
Central African Republic,140,1995,3.1,46.9,33856,3.222656,33.89,75910,49210,8.29
Sri Lanka,144,1995,0.2,44.4,16,18.242912,0.04,39215,925755,-48.6
Chad,148,1995,1.3,46.1,100,7.010145,0.11,83902,223106,-19.86
Chile,152,1995,1,51.1,262,14.380866,0.18,142417,499207,-24.81
China,156,1995,0,49.6,289747,1262.276568,,344062,5030369,-3.71
Colombia,170,1995,0.3,48.9,408,36.421438,0.37,106189,1217608,-30.52
Comoros,174,1995,2.9,52.6,5,0.475394,0.04,12435,51292,-81.74
Mayotte,175,1995,21.4,44.2,0,0.123181,0,25006,3937,171.04
Congo - Brazzaville,178,1995,7.1,50,19404,2.707537,10.09,185581,115684,25.82
Congo - Kinshasa,180,1995,4.4,50.4,1433760,41.576234,78.38,1715920,559836,27.81
Cook Islands,184,1995,14.1,44.3,0,0.019097,0,2607,17012,-754.31
Costa Rica,188,1995,10.3,49.4,24226,3.545534,6.63,203783,85421,33.38
Croatia,191,1995,14.6,53.2,198647,4.616766,29.47,563714,735556,-37.22
Cuba,192,1995,0.2,52,2475,10.888252,11.37,22432,935463,-83.85
Cyprus,196,1995,7.2,55.4,57,0.855383,0.09,61451,163285,-119.05
Czechia,203,1995,1.6,46.7,2655,10.358193,1.6,165592,333356,-16.2
Benin,204,1995,1.8,46.7,2317,5.905558,2.18,95086,275696,-30.58
Denmark,208,1995,5.8,51.4,50924,5.232704,16.78,303108,207983,18.18
Dominica,212,1995,4.4,48,0,0.071098,0,2704,45232,-598.16
Dominican Republic,214,1995,4.1,38.5,985,7.819247,0.31,322076,675282,-45.17
Ecuador,218,1995,1,49.7,796,11.455204,0.69,100213,326230,-19.73
El Salvador,222,1995,0.7,53,10279,5.6286,26.09,39351,933330,-158.83
Equatorial Guinea,226,1995,0.7,46.8,0,0.496768,0,2934,46414,-87.53
Ethiopia,231,1995,1.4,47.4,393479,57.047908,49.27,765390,816429,-0.89
Eritrea,232,1995,0.6,47.2,1083,2.204222,8.19,11030,375258,-165.24
Estonia,233,1995,22,56.8,1,1.433024,0,315177,129640,129.47
Faroe Islands,234,1995,6.4,45.7,0,0.045625,0,2799,10005,-157.94
Falkland Islands,238,1995,34.9,41.2,0,0.00249,0,828,763,26.1
Fiji,242,1995,1.7,48.3,0,0.775425,0,11396,106495,-122.64
Finland,246,1995,1.9,50.3,7624,5.119005,7.84,97801,288821,-37.32
France,250,1995,10.5,50,155245,57.801892,2.56,6087993,1352594,81.92
French Guiana,254,1995,51,47.4,3301,0.1374,4.71,66516,3227,460.62
French Polynesia,258,1995,13,41.2,0,0.218071,0,24611,3749,95.67
Djibouti,262,1995,15.8,47.4,27310,0.630388,27.42,93804,6964,137.76
Gabon,266,1995,15.8,42.9,791,1.084946,0.46,166930,16615,138.55
Georgia,268,1995,3.1,56.2,3200,4.97626,2.07,149590,953289,-161.51
Gambia,270,1995,13.4,45.6,6599,1.128575,4.36,146646,38385,95.93
Palestinian Territories,275,1995,10.8,54.5,1159134,2.618668,409.85,259733,2275128,-769.63
Germany,276,1995,9.2,47.8,1267900,81.138659,16.99,7130259,3045354,50.34
Ghana,288,1995,1.5,49.6,83200,17.014057,32.6,241780,428057,-10.95
Gibraltar,292,1995,29.2,49.9,0,0.028692,0,7115,10135,-105.26
Kiribati,296,1995,2.9,48.8,0,0.077723,0,1746,4246,-32.17
Greece,300,1995,8,48.1,4428,10.745503,0.52,857847,1004521,-13.65
Greenland,304,1995,12.8,31.5,0,0.055811,0,7039,11366,-77.53
Grenada,308,1995,5.5,50.5,0,0.100288,0,3570,54091,-503.76
Guadeloupe,312,1995,17,51.4,0,0.437426,0,70073,6879,144.47
Guam,316,1995,49.4,46,0,0.145561,0,69255,1616,464.68
Guatemala,320,1995,1.5,57.2,111983,10.408489,71.73,156124,462072,-29.39
Guinea,324,1995,10.7,50.1,672298,7.269625,86.43,769222,365864,55.49
Guyana,328,1995,0.8,46.4,0,0.761291,0,5631,296132,-381.59
Haiti,332,1995,0.2,44.4,0,7.744503,0,16827,665028,-83.7
Vatican City,336,1995,100,51.4,0,0.00078,0,0,37,-47.44
Honduras,340,1995,2.6,49.1,118578,5.709014,79.89,149299,246799,-17.08
Hong Kong SAR China,344,1995,40.2,51.9,5536,6.084227,0.23,2152873,619223,252.07
Hungary,348,1995,3.1,54.3,11394,10.349302,3.55,313738,404699,-8.79
Iceland,352,1995,4.8,55,146,0.267629,1.14,12738,21450,-32.55
India,356,1995,0.7,48.1,227480,963.922588,3.37,6916939,7157482,-0.25
Indonesia,360,1995,0.2,49.4,202,196.93426,0.05,318970,1953465,-8.3
Iran,364,1995,4.8,41.9,2071988,61.442664,70.25,2876948,746894,34.67
Iraq,368,1995,1,42.4,116722,20.149338,57.93,175951,1328725,-57.21
Ireland,372,1995,6.3,52.4,400,3.592186,0.18,226892,862120,-176.84
Israel,376,1995,34,53.7,1051,5.271367,0.06,1554408,291849,239.51
Italy,380,1995,3.1,54.4,9408,57.174408,0.53,1774942,3207777,-25.06
Côte d’Ivoire,384,1995,14.6,44.6,297908,14.199762,14.37,2038795,449508,111.92
Jamaica,388,1995,0.9,50.5,19,2.533711,0.08,20208,719398,-275.95
Japan,392,1995,1.1,50.1,5322,126.365484,0.38,1340239,657199,5.41
Kazakhstan,398,1995,20.5,54,15561,15.839363,0.48,2936413,3295163,-22.65
Jordan,400,1995,33.5,48.9,1250358,4.588843,81.34,1534882,339346,260.53
Kenya,404,1995,2.2,47.9,234665,27.768296,38.41,511762,277660,8.43
North Korea,408,1995,0.2,50,0,21.862299,0,31613,54029,-1.03
South Korea,410,1995,0.3,42.9,5,45.292522,0,118307,1785743,-36.81
Kuwait,414,1995,57.4,35.8,3306,1.605901,0.36,893634,97039,496.04
Kyrgyzstan,417,1995,11.4,58.2,13407,4.566096,2.58,507031,550026,-9.42
Laos,418,1995,0.5,48.1,0,4.846483,0,20911,547793,-108.71
Lebanon,422,1995,17.2,48.9,342697,3.52838,56.47,604819,533444,20.23
Lesotho,426,1995,0.4,46.9,1116,1.898598,14.7,4024,136603,-69.83
Latvia,428,1995,21.5,56.5,4,2.50848,0,538093,229015,123.21
Liberia,430,1995,10.2,46.5,120080,2.044661,57.58,189728,542301,-172.44
Libya,434,1995,10.3,40.8,3973,4.948798,0.78,508041,77417,87.02
Liechtenstein,438,1995,43.1,46.9,0,0.03088,0,13250,3020,331.28
Lithuania,440,1995,7.5,53,0,3.626612,0,259880,342455,-22.77
Luxembourg,442,1995,30.9,50.6,700,0.408149,0.56,125818,37909,215.38
